pobreza,pobreza_e,pobreza_m,vul_car,vul_ing,npnv,ic_rezedu,ic_asalud,ic_segsoc,ic_cv,ic_sbv,ic_ali,carencias,carencias3,plb,plb_m,rankin_p,rankin_pe,N_pobreza,N_pobreza_e,N_pobreza_m,N_vul_car,N_vul_ing,N_npnv,N_ic_rezedu,N_ic_asalud,N_ic_segsoc,N_ic_cv,N_ic_sbv,N_ic_ali,N_carencias,N_carencias3,N_plb,N_plb_m,perrankin_p,perrankin_pe,cppobreza,cppobreza_e,cppobreza_m,cpvul_car,cpic_rezedu,cpic_asalud,cpic_segsoc,cpic_cv,cpic_sbv,cpic_ali,cpcarencias,cpcarencias3,cpplb,cpplbm,pobtot_05,porc_pob_15_analfa05,porc_pob614_noasiste05,porc_pob15_basicainc05,porc_pob_snservsal05,porc_vivpisotierra05,porc_vivsnsan05,porc_snaguaent05,porc_vivsndren05,porc_vivsnenergia05,porc_vivsnlavadora05,porc_vivsnrefri05,irez_soc05,l_ocupnac05,p_rez_edu_00,p_ser_sal_00,p_viv_pisos_00,p_viv_muros_00,p_viv_techos_00,p_viv_hacin_00,p_viv_agu_entub_00,p_viv_dren_00,p_viv_elect_00,pobreza_alim_00,pobreza_cap_00,pobreza_patrim_00,gdo_rezsoc05
30.53110415,2.264478363,28.2666266,27.98331976,8.419106156,33.06646943,14.97055335,24.03449289,41.79988516,4.721187067,3.214164334,17.6655567,58.51442354,10.05879303,38.95021004,10.31389041,2351,2385,242510,17987,224523,222273,66873,262648,118912,190907,332018,37501,25530,140318,464782,79897,309383,81924,22,145,1.905451894,3.421614885,1.784362555,1.723945141,2.111343622,2.327308178,2.039859056,2.642069578,2.785471439,2.350738049,1.818454862,3.31154871,1.495813012,1.8145504,723043,3.185919046,3.832043886,36.59555054,26.49897957,1.48556006,3.552449942,1.994297028,1.332242012,2.806766987,15.39046955,7.636868,-1.636908054,2421,14.6,35.8,2.2,0.5,0.5,9,1.7,3.1,1.1,7.6,12.7,33.7,Muy bajo
67.11117199,8.040704152,59.07046795,22.43938893,5.557603762,4.891835153,21.22271219,15.51403208,78.0035697,11.06224743,11.57891707,31.65103544,89.55056081,18.97860802,72.66877583,32.2027741,1340,1915,32611,3907,28704,10904,2701,2377,10313,7539,37903,5375,5626,15380,43514,9222,35311,15648,370,849,1.938898444,3.454205513,1.734364867,1.732999921,2.504304647,2.551830053,1.94681108,3.043816566,3.020978928,2.667471409,1.887565136,3.382551908,1.790992022,1.945454478,40547,6.748812199,5.490578175,58.29518127,23.2372303,7.120962143,13.45201969,4.315020084,11.82503986,3.996699095,29.29733086,26.12590981,-0.956416786,2000,27.5,67.7,10.3,0.3,1.6,20.7,8.6,20.8,5.4,22.1,29,48.9,Muy bajo
61.3605272,7.241237535,54.11928892,29.42858338,2.921335958,6.289553642,27.36120707,20.81255077,80.05198044,9.880071309,9.544231446,20.39646767,90.78911129,19.00127826,64.2818632,26.50326916,1601,1989,32585,3845,28740,15628,1551,3340,14530,11052,42511,5247,5068,10831,48213,10090,34136,14074,372,860,1.904335976,3.374609232,1.708036184,1.738271236,2.378427982,2.438657761,1.923021078,3.081347942,3.001547337,2.847499371,1.850954413,3.317858934,1.818048835,1.976999402,50183,8.147171021,8.934280396,63.99924088,26.86169052,2.926481009,3.426124096,2.676660061,1.668450952,1.864738941,23.02819061,11.88436985,-1.122184038,2143,30.4,83.4,4.7,0.2,0.3,19,5.3,8.5,2.3,24.2,33.1,57.9,Muy bajo
52.8004579,4.769000587,48.03145826,27.12856829,7.709275931,12.36169785,20.88902282,14.07165653,65.83137385,11.44344909,5.69294695,19.01178485,79.92902542,14.06256509,60.50973361,20.85395322,1930,2196,7445,672,6773,3825,1087,1743,2946,1984,9283,1614,803,2681,11271,1983,8532,2941,1274,1701,1.765409708,3.42146349,1.601727605,1.612300158,2.118767977,2.495736599,1.796453357,2.932658911,2.960497379,2.788464785,1.713272929,3.355824947,1.541246653,1.728583813,13687,6.709569931,4.179861069,53.42350006,26.82106972,4.824258804,9.200551033,1.13714695,5.58235693,2.06753993,32.63267136,25.77532959,-1.078456998,2103,24.2,60.6,6.1,0.2,1.2,22.5,7.4,9.6,2.3,14.9,21,40.1,Muy bajo
45.33851156,6.084037434,39.25447464,26.26291215,8.279863745,20.11871189,20.57814446,16.5678183,52.6169917,12.93654176,4.556384459,25.3940494,71.60142282,15.77762492,53.61837524,19.46926218,2108,2072,45964,6168,39796,26625,8394,20396,20862,16796,53343,13115,4619,25744,72589,15995,54358,19738,239,574,1.95339191,3.403283834,1.728851914,1.6771698,2.221982241,2.390123129,2.023067236,2.764592648,3.375908375,2.564958572,1.852615833,3.320841074,1.652841449,1.993144393,82623,5.327423096,5.689278126,51.94470978,30.62343025,2.719016075,4.349298,3.395950079,2.397473097,3.418514013,19.96953964,11.47966003,-1.210940957,2209,24.3,47.4,7.3,0.6,1.2,22.3,4.3,10.8,2.7,15.9,22.6,42.2,Muy bajo
46.95832951,4.141798202,42.81653166,23.61956686,9.183691442,20.23841292,18.8248908,18.50249831,54.13856478,7.824584077,5.229107228,21.24352339,70.57789664,14.07548599,56.14202122,19.79371909,2083,2255,20560,1813,18746,10341,4021,8861,8242,8101,23703,3426,2289,9301,30901,6163,24581,8666,605,1298,1.852658153,3.308408499,1.711987138,1.639168024,2.208498478,2.494930744,1.930025935,2.652702093,2.928986073,2.4537673,1.78190589,3.271363497,1.550266027,1.7128824,38912,5.57762289,5.350897789,44.9836998,29.69778061,1.905104041,3.774262905,2.743829012,2.683919907,2.096812963,20.38101959,14.01869011,-1.321357012,2274,21,48.2,3.1,0.1,0.3,17,2.2,11,1.7,16.4,23.8,47.3,Muy bajo
56.13620421,9.163437049,46.97276652,19.93060857,7.50086531,16.43232256,20.17367838,20.26778636,63.46906336,14.09008196,6.783419281,27.49178685,76.06681337,20.41073075,63.63706972,26.10613574,1824,1839,28789,4699,24090,10221,3847,8427,10346,10394,32549,7226,3479,14099,39010,10467,32636,13388,425,736,2.097465754,3.552730083,1.813387513,1.730498195,2.449004412,2.566553116,2.124107361,3.177532434,3.72833252,2.896806479,2.001869202,3.435341835,1.850799441,2.169789314,45471,6.485242844,4.297441006,46.56660843,30.5755291,3.975116014,6.938001156,3.785322905,4.692112923,2.846899986,26.78195,17.53479958,-1.197186947,2201,21.4,56.9,6.7,0.2,1,22.1,6.1,10.7,3.2,20.8,28.3,50.5,Muy bajo
66.61941858,7.340833224,59.27858353,20.86050212,3.760996833,8.759082109,16.72876858,12.29384957,79.55683729,8.200067475,12.24900237,23.74104912,87.47992097,15.46041976,70.38041556,34.64625678,1359,1978,5214,574,4639,1633,294,685,1309,962,6226,642,959,1858,6846,1210,5508,2711,1480,1733,1.790842175,3.354936361,1.597442508,1.600532413,2.323702574,2.461162329,1.774926543,3.196006536,2.887610435,2.678213358,1.746338725,3.325595856,1.69552815,1.832841754,7631,5.154193878,4.780011177,53.65478134,18.17585945,3.599756002,19.89018059,5.430140018,16.5344696,4.392921925,37.15679932,23.36791039,-1.005023003,2032,22.2,70.1,4,0.1,0.6,20.3,4.3,27.7,5.6,23.8,30.7,49.1,Muy bajo
58.65920222,6.033755607,52.62544751,26.434201,7.536919415,7.369677722,22.61875221,11.87977312,70.67054896,14.28939954,9.163816845,19.51868719,85.09340252,15.63646535,66.19612161,25.73541732,1712,2079,12921,1329,11592,5823,1660,1623,4982,2617,15567,3148,2019,4299,18744,3444,14581,5669,899,1440,1.800296903,3.439028263,1.612781405,1.611141562,2.116060495,2.624314785,1.82951355,2.947798491,2.923145056,2.805387974,1.740921974,3.384956121,1.595938802,1.792154193,17372,6.306390762,5.220588207,59.23855972,23.90052986,3.926990986,10.03872013,3.318583965,6.747786999,2.986726046,28.29092979,23.14711952,-1.045346022,2067,27.1,67.8,6.5,0.2,1.1,22.6,4.8,21.6,3.4,21,27.9,47.9,Muy bajo
60.6384975,9.544884855,51.0936141,28.60634625,3.987850994,6.767304987,27.07470417,19.08729042,75.79389167,11.27804765,13.94466234,39.1748518,89.24484423,27.07799866,64.62634843,25.40283576,1638,1803,10693,1683,9010,5044,703,1193,4774,3366,13365,1989,2459,6908,15737,4775,11396,4480,1044,1330,2.193673134,3.497685194,1.952350974,1.858386517,2.661518812,2.855443954,2.201898813,3.18608427,3.413690329,2.817009211,2.0881145,3.437473774,2.059672117,2.271901369,17115,7.382615089,5.498281956,60.04106903,28.51884079,4.476350784,15.39976978,3.969594002,13.76688957,5.011260986,33.33332825,24.74662018,-0.886840522,1933,27.6,60.6,11.5,0.2,1.5,20.5,4.6,26.8,7.8,17.8,24.4,43.5,Muy bajo
